customer_id,name,email,country
CUST_001,User_1,user1@bank.com,India
CUST_002,User_2,user2@bank.com,India
CUST_003,User_3,user3@bank.com,Germany
CUST_004,User_4,user4@bank.com,India
CUST_005,User_5,user5@bank.com,UK
CUST_006,User_6,user6@bank.com,USA
CUST_007,User_7,user7@bank.com,India
CUST_008,User_8,user8@bank.com,Germany
CUST_009,User_9,user9@bank.com,UK
CUST_010,User_10,user10@bank.com,USA
CUST_011,User_11,user11@bank.com,Germany
CUST_012,User_12,user12@bank.com,Germany
CUST_013,User_13,user13@bank.com,India
CUST_014,User_14,user14@bank.com,Germany
CUST_015,User_15,user15@bank.com,Germany
CUST_016,User_16,user16@bank.com,USA
CUST_017,User_17,user17@bank.com,UK
CUST_018,User_18,user18@bank.com,India
CUST_019,User_19,user19@bank.com,India
CUST_020,User_20,user20@bank.com,Germany
